"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"90","150","Shri    Lagadapati   Rajagopal                            ","15","8","Andhra Pradesh                                              ","Vijayawada","26","20"
"91","151","Smt.    Botcha Jhansi Lakshmi                             ","15","8","Andhra Pradesh                                              ","Vizianagaram","26","25"
"92","152","Smt.  Ingrid  Mcleod                                            ","15","8","Chhattisgarh                                                ","Nominated Anglo-Indian","26","23"
"93","153","Shri    Bapiraju  Kanumuru                                ","15","8","Andhra Pradesh                                              ","Narsapuram","26","25"
"94","154","Shri  Kishan V.  Patel                                             ","15","8","Gujarat                                                     ","Valsad","26","21"
"95","155","Shri  Eknath  Gaikwad                                           ","15","8","Maharashtra                                                 ","Mumbai-South-Central","26","26"
"96","156","Dr.  Thokchom  Meinya                                            ","15","8","Manipur                                                     ","Inner Manipur","26","26"
"97","157","Shri  M.  Krishnaswamy                                      ","15","8","Tamil Nadu                                                  ","Arani","26","24"
"98","158","Dr.  Nirmal  Khatri                                            ","15","8","Uttar Pradesh                                               ","Faizabad","26","26"
"99","160","Smt.  Shruti  Choudhry                                          ","15","8","Haryana                                                     ","Bhiwani-Mahendragarh","26","22"
"100","161","Dr.  Prabha Kishore  Taviad                                            ","15","8","Gujarat                                                     ","Dahod","26","26"
"101","162","Smt.  Rajesh Nandini  Singh                                             ","15","8","Madhya Pradesh                                              ","Shahdol","26","25"
"102","163","Ms.  Mausam  Noor                                              ","15","8","West Bengal                                                 ","Maldaha Uttar","26","16"
"103","164","Smt.  Sarika  D.S. Baghel                                       ","15","8","Uttar Pradesh                                               ","Hathras","26","26"
"104","165","Smt.  Annu  Tandon                                            ","15","8","Uttar Pradesh                                               ","Unnao","26","26"
"105","166","Smt.  Meenakshi  Natrajan                                          ","15","8","Madhya Pradesh                                              ","Mandsour","26","25"
"106","167","Dr.  Jyoti  Mirdha                                            ","15","8","Rajasthan                                                   ","Nagaur","26","24"
"107","168","Shri  Devendra  Nagpal                                            ","15","8","Uttar Pradesh                                               ","Amroha","26","15"
