"S.No.","Division/Seat No.","Name of Member","Lok Sabha","Session","State","Constituency","Total Sittings","No. of days member signed the register"
"257","329","Shri  Ambica  Banerjee                                          ","15","8","West Bengal                                                 ","Howrah","26","22"
"258","330","Shri    Suvendu   Adhikari                                ","15","8","West Bengal                                                 ","Tamluk","26","5"
"259","331","Smt.  Usha  Verma                                             ","15","8","Uttar Pradesh                                               ","Hardoi","26","25"
"260","332","Shri  Bal Kumar  Patel                                             ","15","8","Uttar Pradesh                                               ","Mirzapur","26","25"
"261","333","Shri  Rakesh  Pandey                                            ","15","8","Uttar Pradesh                                               ","Ambedkar Nagar","26","24"
"262","334","Shri  Gorakh Prasad  Jaiswal                                           ","15","8","Uttar Pradesh                                               ","Deoria","26","25"
"263","335","Sk.   Saidul  Haque                                             ","15","8","West Bengal                                                 ","Bardhaman-Durgapur","26","26"
"264","336","Shri  Mahendra Kumar  Roy                                               ","15","8","West Bengal                                                 ","Jalpaiguri","26","25"
"265","337","Shri  C.  Sivasami                                          ","15","8","Tamil Nadu                                                  ","Tiruppur","26","20"
"266","338","Smt.  Satabdi  Roy                                               ","15","8","West Bengal                                                 ","Birbhum","26","21"
"267","339","Shri  Tapas  Paul                                              ","15","8","West Bengal                                                 ","Krishnanagar","26","16"
"268","340","Dr.  Sucharu Ranjan  Haldar                                            ","15","8","West Bengal                                                 ","Ranaghat","26","24"
"269","341","Shri  Pakauri  Lal                                               ","15","8","Uttar Pradesh                                               ","Robertsganj","26","25"
"270","342","Shri  Ghanshyam  Anuragi                                           ","15","8","Uttar Pradesh                                               ","Jalaun","26","26"
"271","343","Shri  Kamlesh  Balmiki                                           ","15","8","Uttar Pradesh                                               ","Bulandshahr","26","25"
"272","344","Shri  Arvind Kumar  Chaudhary                                         ","15","8","Uttar Pradesh                                               ","Basti","26","26"
"273","345","Shri  Deoraj Singh  Patel                                             ","15","8","Madhya Pradesh                                              ","Rewa","26","26"
"274","346","Shri  Ramashankar  Rajbhar                                           ","15","8","Uttar Pradesh                                               ","Salempur","26","26"
"275","347","Shri  P. K.  Biju                                              ","15","8","Kerala                                                      ","Alathur","26","25"
"276","348","Shri  M. B.  Rajesh                                            ","15","8","Kerala                                                      ","Palakkad","26","25"
"277","349","Shri  P.  Lingam                                            ","15","8","Tamil Nadu                                                  ","Tenkasi","26","26"
"278","350","Shri  P.  Kumar                                             ","15","8","Tamil Nadu                                                  ","Tiruchirappalli","26","24"
"279","351","Dr.  Padamsinha  Bajirao  Patil                                    ","15","8","Maharashtra                                                 ","Osmanabad","26","15"
"280","352","Dr.  Ratna  De (Nag)                                          ","15","8","West Bengal                                                 ","Hooghly","26","21"
"281","353","Shri  Kabir  Suman                                             ","15","8","West Bengal                                                 ","Jadavpur","26","6"
"282","354","Shri    Mithlesh Kumar                                    ","15","8","Uttar Pradesh                                               ","Shahjahanpur","26","25"
"283","355","Shri  Yashvir  Singh                                             ","15","8","Uttar Pradesh                                               ","Nagina","26","25"
"284","356","Shri  Radhey Mohan  Singh                                             ","15","8","Uttar Pradesh                                               ","Ghazipur","26","25"
"285","357","Shri  Kapil Muni  Karwariya                                         ","15","8","Uttar Pradesh                                               ","Phulpur","26","25"
"286","358","Shri  Surendra Singh  Nagar                                             ","15","8","Uttar Pradesh                                               ","Gautam Buddha Nagar","26","16"
"287","359","Shri  Kadir  Rana                                              ","15","8","Uttar Pradesh                                               ","Muzaffarnagar","26","15"
"288","360","Shri  Bibhu Prasad  Tarai                                             ","15","8","Orissa                                                      ","Jagatsinghpur","26","24"
"289","361","Shri  Sakti  Mohan   Malik                                     ","15","8","West Bengal                                                 ","Arambagh","26","24"
"290","362","Shri  Prasanta Kumar  Majumdar                                          ","15","8","West Bengal                                                 ","Balurghat","26","23"
"291","363","Shri  Mekapati Rajamohan  Reddy                                             ","15","8","Andhra Pradesh                                              ","Nellore","26","6"
"292","364","Dr.  Tarun  Mondal                                            ","15","8","West Bengal                                                 ","Joynagar","26","25"
"293","365","Shri  Basudeb  Acharia                                           ","15","8","West Bengal                                                 ","Bankura","26","25"
"294","366","Shri  Sharad  Yadav                                             ","15","8","Bihar                                                       ","Madhepura","26","22"
"295","367","Shri  Arjun Charan  Sethi                                             ","15","8","Orissa                                                      ","Bhadrak","26","16"
"296","368","Shri  Anant Gangaram  Geete                                             ","15","8","Maharashtra                                                 ","Raigad","26","24"
"297","369","Shri  Ram Sundar  Das                                               ","15","8","Bihar                                                       ","Hajipur","26","26"
"298","370","Shri  Bhartruhari  Mahtab                                            ","15","8","Orissa                                                      ","Cuttack","26","23"
"299","371","Shri  P.  Karunakaran                                       ","15","8","Kerala                                                      ","Kasaragod","26","20"
"300","372","Shri  Chandrakant  Khaire                                            ","15","8","Maharashtra                                                 ","Aurangabad","26","19"
"301","373","Shri  Anandrao  Adsul                                             ","15","8","Maharashtra                                                 ","Amravati","26","M"
"302","374","Shri  Rajiv Ranjan  Singh  @ Lalan Singh                              ","15","8","Bihar                                                       ","Munger","26","26"
"303","375","Shri  K. Chandrasekhar  Rao                                               ","15","8","Andhra Pradesh                                              ","Mahabubnagar","26","1"
"304","376","Dr.  Rattan Singh  Ajnala                                            ","15","8","Punjab                                                      ","Khadoor Sahib","26","17"
"305","377","Shri  Prasanna  Kumar Patasani                                    ","15","8","Orissa                                                      ","Bhubaneswar","26","25"
"306","378","Smt.  Bhavana  Gawali                                            ","15","8","Maharashtra                                                 ","Yavatmal-Washim","26","25"
"307","379","Shri  Dinesh Chandra  Yadav                                             ","15","8","Bihar                                                       ","Khagaria","26","26"
"308","380","Shri   Mangani Lal  Mandal                                            ","15","8","Bihar                                                       ","Jhanjharpur","26","26"
"309","381","Shri  Inder Singh  Namdhari                                          ","15","8","Jharkhand                                                   ","Chatra","26","26"
"310","382","Smt.  Jaya Prada  Nahata                                            ","15","8","Uttar Pradesh                                               ","Rampur","26","8"
"311","383","Shri  Tathagata  Satpathy                                          ","15","8","Orissa                                                      ","Dhenkanal","26","18"
"312","384","Shri  Shivaji  Adhalrao Patil                                    ","15","8","Maharashtra                                                 ","Shirur","26","14"
"313","385","Dr.  Ranjan Prasad  Yadav                                             ","15","8","Bihar                                                       ","Pataliputra","26","25"
"314","386","Capt.(Retd.)  Jainarayan Prasad  Nishad                                            ","15","8","Bihar                                                       ","Muzaffarpur","26","23"
"315","387","Dr.  Monazir  Hassan                                            ","15","8","Bihar                                                       ","Begusarai","26","22"
"316","389","Smt.  Harsimrat Kaur  Badal                                             ","15","8","Punjab                                                      ","Bathinda","26","23"
"317","390","Smt.  Paramjit Kaur  Gulshan                                           ","15","8","Punjab                                                      ","Faridkot","26","24"
"318","391","Shri  Mohan  Jena                                              ","15","8","Orissa                                                      ","Jajpur","26","23"
"319","392","Shri  Anand Prakash  Paranjpe                                          ","15","8","Maharashtra                                                 ","Kalyan","26","14"
"320","393","Shri  Jagdish  Sharma                                            ","15","8","Bihar                                                       ","Jahanabad","26","20"
"321","394","Shri  Sushil Kumar  Singh                                             ","15","8","Bihar                                                       ","Aurangabad","26","24"
"322","396","Shri  Narahari  Mahato                                            ","15","8","West Bengal                                                 ","Purulia","26","19"
"323","399","Shri  Pinaki  Misra                                             ","15","8","Orissa                                                      ","Puri","26","25"
"324","400","Shri  Baijayant  Panda                                             ","15","8","Orissa                                                      ","Kendrapara","26","15"
"325","402","Shri  Vishwa Mohan  Kumar                                             ","15","8","Bihar                                                       ","Supaul","26","23"
"326","403","Shri  Baidyanath Prasad  Mahto                                             ","15","8","Bihar                                                       ","Valmiki Nagar","26","26"
"327","404","Shri  Angadi Suresh  Channabasappa                                     ","15","8","Karnataka                                                   ","Belgaum","26","18"
"328","405","Shri  Ramen  Deka                                              ","15","8","Assam                                                       ","Mangaldoi","26","22"
"329","406","Smt.    Rama Devi                                         ","15","8","Bihar                                                       ","Sheohar","26","25"
"330","407","Shri  Nripendra Nath  Roy                                               ","15","8","West Bengal                                                 ","Cooch Behar","26","25"
"331","408","Shri  K. Narayana  Rao                                               ","15","8","Andhra Pradesh                                              ","Machilipatnam","26","21"
"332","409","Shri  Jayaram  Pangi                                             ","15","8","Orissa                                                      ","Koraput","26","20"
"333","410","Shri  Rudramadhab  Ray                                               ","15","8","Orissa                                                      ","Kandhamal","26","21"
"334","411","Shri  A.  Ganeshamurthi                                     ","15","8","Tamil Nadu                                                  ","Erode","26","22"
"335","412","Shri   Prataprao  Ganpatrao Jadhav                                  ","15","8","Maharashtra                                                 ","Buldhana","26","19"
"336","413","Shri  Arjun  Roy                                               ","15","8","Bihar                                                       ","Sitamarhi","26","25"
"337","414","Smt.  Aswamedh  Devi                                              ","15","8","Bihar                                                       ","Ujiarpur","26","24"
"338","415","Shri  P. C.  Mohan                                             ","15","8","Karnataka                                                   ","Bangalore Central","26","19"
"339","416","Shri  Jeetendra Singh  Bundela                                           ","15","8","Madhya Pradesh                                              ","Khajuraho","26","24"
"340","417","Shri  Hari  Manjhi                                            ","15","8","Bihar                                                       ","Gaya","26","26"
"341","418","Shri  Modugula Venugopala  Reddy                                             ","15","8","Andhra Pradesh                                              ","Narasaraopet","26","23"
"342","419","Shri  Naramalli  Sivaprasad                                        ","15","8","Andhra Pradesh                                              ","Chittoor","26","16"
"343","420","Dr.  Kirodi  Lal  Meena                                        ","15","8","Rajasthan                                                   ","Dausa","26","26"
"344","421","Shri  Nityananda  Pradhan                                           ","15","8","Orissa                                                      ","Aska","26","20"
"345","422","Shri  Subhash Bapurao  Wankhede                                          ","15","8","Maharashtra                                                 ","Hingoli","26","18"
"346","423","Shri  Mahabali  Singh                                             ","15","8","Bihar                                                       ","Karakat","26","25"
"347","424","Shri  Purnmasi  Ram                                               ","15","8","Bihar                                                       ","Gopalganj","26","25"
"348","425","Smt.  Darshana  Jardosh                                           ","15","8","Gujarat                                                     ","Surat","26","24"
"349","426","Kum.  Saroj  Pandey                                            ","15","8","Chhattisgarh                                                ","Durg","26","21"
"350","427","Shri  Yashbant N.S.  Laguri                                            ","15","8","Orissa                                                      ","Keonjhar","26","13"
"351","428","Shri  Kalikesh N. Singh  Deo                                               ","15","8","Orissa                                                      ","Bolangir","26","19"
"352","429","Shri  Kristappa  Nimmala                                           ","15","8","Andhra Pradesh                                              ","Hindupur","26","25"
"353","430","Shri  Y.S.Jagan Mohan  Reddy                                             ","15","8","Andhra Pradesh                                              ","Kadapa","26","5"
"354","431","Shri  Gajanan D.  Babar                                             ","15","8","Maharashtra                                                 ","Maval","26","20"
"355","432","Adv.   Ganeshrao  Nagorao Dudhgaonkar                               ","15","8","Maharashtra                                                 ","Parbhani","26","24"
"356","433","Smt.  Meena  Singh                                             ","15","8","Bihar                                                       ","Arrah","26","25"
"357","434","Shri  Bhudeo  Choudhary                                         ","15","8","Bihar                                                       ","Jamui","26","20"
"358","435","Shri   Bhausaheb  Rajaram   Wakchaure                               ","15","8","Maharashtra                                                 ","Shirdi","26","17"
"359","436","Shri  Kamlesh  Paswan                                            ","15","8","Uttar Pradesh                                               ","Bansgaon","26","26"
"360","437","Prof.(Dr.)  Ram Shankar  Katheria                                          ","15","8","Uttar Pradesh                                               ","Agra","26","21"
"361","438","Shri  Rajendra  Agarwal                                           ","15","8","Uttar Pradesh                                               ","Meerut","26","26"
"362","439","Shri    Varun  Gandhi                                            ","15","8","Uttar Pradesh                                               ","Pilibhit","26","23"
"363","440","Shri   Raju Shetti  ","15","8","Maharashtra                                                 ","Hatkanangle","26","16"
"364","441","Shri  Sidhant  Mohapatra                                         ","15","8","Orissa                                                      ","Berhampur","26","22"
"365","442","Shri  Laxman  Tudu                                              ","15","8","Orissa                                                      ","Mayurbhanj","26","16"
"366","443","Smt.    Putul Kumari                                      ","15","8","Bihar                                                       ","Banka","26","26"
"367","444","Shri  Kaushalendra  Kumar                                             ","15","8","Bihar                                                       ","Nalanda","26","25"
"368","445","Shri  Maheshwar  Hazari                                            ","15","8","Bihar                                                       ","Samastipur","26","25"
"369","446","Shri  Sher Singh  Ghubaya                                           ","15","8","Punjab                                                      ","Ferozpur","26","16"
"370","447","Shri  Joseph  Toppo                                             ","15","8","Assam                                                       ","Tezpur","26","25"
"371","448","Shri  Virender  Kashyap                                           ","15","8","Himachal Pradesh                                            ","Shimla","26","26"
"372","449","Shri  Shivarama  Gouda                                             ","15","8","Karnataka                                                   ","Koppal","26","22"
"373","450","Shri  Udasi Shivkumar  Chanabasappa                                      ","15","8","Karnataka                                                   ","Haveri","26","25"
"374","451","Dr.  Rajan  Sushant                                           ","15","8","Himachal Pradesh                                            ","Kangra","26","22"
"375","452","Shri  Ramesh  Vishwanath   Katti                                ","15","8","Karnataka                                                   ","Chikkodi","26","21"
"376","453","Shri  S.  Pakkirappa                                        ","15","8","Karnataka                                                   ","Raichur","26","22"
"377","454","Dr.  Murli Manohar  Joshi                                             ","15","8","Uttar Pradesh                                               ","Varanasi","26","22"
"378","455","Shri  Rajnath  Singh                                             ","15","8","Uttar Pradesh                                               ","Ghaziabad","26","20"
"379","456","Shri   Gopinathrao  Pandurang   Munde                                 ","15","8","Maharashtra                                                 ","Beed","26","23"
"380","457","Shri  Lal Krishna  Advani                                            ","15","8","Gujarat                                                     ","Gandhinagar","26","26"
"381","460","Shri  Shatrughan  Sinha                                             ","15","8","Bihar                                                       ","Patna Sahib","26","24"
"382","461","Shri  Syed Shahnawaz  Hussain                                           ","15","8","Bihar                                                       ","Bhagalpur","26","26"
"383","462","Shri  Hukamdeo Narayan  Yadav                                             ","15","8","Bihar                                                       ","Madhubani","26","26"
"384","463","Shri  Yashwant  Sinha                                             ","15","8","Jharkhand                                                   ","Hazaribagh","26","25"
"385","464","Shri  Ramesh  Bais                                              ","15","8","Chhattisgarh                                                ","Raipur","26","26"
"386","465","Shri    Ananth Kumar                                      ","15","8","Karnataka                                                   ","Bangalore South","26","22"
"387","466","Shri  Jaswant  Singh                                             ","15","8","West Bengal                                                 ","Darjeeling","26","26"
"388","467","Smt.  Maneka  Gandhi                                            ","15","8","Uttar Pradesh                                               ","Aonla","26","17"
"389","468","Shri  Kabindra  Purkayastha                                       ","15","8","Assam                                                       ","Silchar","26","23"
"390","469","Shri  Dilip Singh  Judev                                             ","15","8","Chhattisgarh                                                ","Bilaspur","26","25"
"391","470","Smt.  Bijoya  Chakravarty                                       ","15","8","Assam                                                       ","Gauhati","26","24"
"392","471","Shri  Harin  Pathak                                            ","15","8","Gujarat                                                     ","Ahmedabad East","26","26"
"393","473","Shri  Kailash  Joshi                                             ","15","8","Madhya Pradesh                                              ","Bhopal","26","23"
"394","474","Smt.  Sumitra  Mahajan                                           ","15","8","Madhya Pradesh                                              ","Indore","26","25"
"395","475","Shri  Yogi  Adityanath                                        ","15","8","Uttar Pradesh                                               ","Gorakhpur","26","17"
"396","476","Shri  Rajendrasinh  Rana                                              ","15","8","Gujarat                                                     ","Bhavnagar","26","22"
"397","477","Shri  Narendra Singh  Tomar                                             ","15","8","Madhya Pradesh                                              ","Morena","26","19"
"398","478","Smt.  Yashodhara Raje  Scindia                                           ","15","8","Madhya Pradesh                                              ","Gwalior","26","24"
"399","478","Shri  D.V. Sadananda  Gowda                                             ","15","8","Karnataka                                                   ","Udupi Chikmagalur","26","1"
"400","479","Shri  Vishnu Deo  Sai                                               ","15","8","Chhattisgarh                                                ","Raigarh","26","13"
"401","480","Shri  Radha Mohan  Singh                                             ","15","8","Bihar                                                       ","Purvi Champaran ","26","23"
"402","481","Shri  Shripad Yesso  Naik                                              ","15","8","Goa                                                         ","North Goa","26","21"
"403","482","Shri  Nikhil Kumar  Choudhary                                         ","15","8","Bihar                                                       ","Katihar","26","26"
"404","483","Shri  Dilip Kumar Mansukhlal  Gandhi                                            ","15","8","Maharashtra                                                 ","Ahmednagar","26","20"
"405","484","Shri  Anant Kumar  Hegde                                             ","15","8","Karnataka                                                   ","Uttara Kannada","26","25"
"406","485","Shri  Ramakant  Yadav                                             ","15","8","Uttar Pradesh                                               ","Azamgarh","26","21"
"407","486","Shri  Ram Singh  Kaswan                                            ","15","8","Rajasthan                                                   ","Churu","26","23"
"408","487","Shri  Mansukhbhai Dhanjibhai  Vasava                                            ","15","8","Gujarat                                                     ","Bharuch","26","19"
"409","488","Shri  G.S.  Basavaraj                                         ","15","8","Karnataka                                                   ","Tumkur","26","20"
"410","489","Shri  D.B. Chandre  Gowda                                             ","15","8","Karnataka                                                   ","Bangalore North","26","17"
"411","490","Shri  Lalji  Tandon                                            ","15","8","Uttar Pradesh                                               ","Lucknow","26","25"
"412","491","Shri  Ashok  Argal                                             ","15","8","Madhya Pradesh                                              ","Bhind","26","25"
"413","492","Shri    Virendra Kumar                                    ","15","8","Madhya Pradesh                                              ","Tikamgarh","26","26"
"414","493","Shri  Ganesh  Singh                                             ","15","8","Madhya Pradesh                                              ","Satna","26","25"
"415","494","Shri  Rakesh  Singh                                             ","15","8","Madhya Pradesh                                              ","Jabalpur","26","26"
"416","495","Shri  Anurag Singh  Thakur                                            ","15","8","Himachal Pradesh                                            ","Hamirpur","26","25"
"417","496","Shri  Raosaheb  Dadarao  Danve                                             ","15","8","Maharashtra                                                 ","Jalna","26","23"
"418","497","Shri  Rajen  Gohain                                            ","15","8","Assam                                                       ","Nawgong","26","18"
"419","498","Shri  Hansraj Gangaram  Ahir                                              ","15","8","Maharashtra                                                 ","Chandrapur","26","22"
"420","499","Shri  Sohan  Potai                                             ","15","8","Chhattisgarh                                                ","Kanker","26","19"
"421","500","Shri  Ramsinhbhai Patalbhai  Rathwa                                            ","15","8","Gujarat                                                     ","Chhota Udaipur","26","23"
"422","501","Shri  Ramesh Chandappa  Jigajinagi                                        ","15","8","Karnataka                                                   ","Bijapur","26","21"
"423","502","Shri  Ravindra Kumar  Pandey                                            ","15","8","Jharkhand                                                   ","Giridih","26","26"
"424","503","Shri  Kirti  Azad                                              ","15","8","Bihar                                                       ","Darbhanga","26","26"
"425","504","Shri  Prahlad  Joshi                                             ","15","8","Karnataka                                                   ","Dharwad","26","22"
"426","505","Shri  Sanjay  Dhotre                                            ","15","8","Maharashtra                                                 ","Akola","26","21"
"427","506","Shri  P.C.  Gaddigoudar                                       ","15","8","Karnataka                                                   ","Bagalkot","26","22"
"428","507","Shri  Navjot Singh  Sidhu                                             ","15","8","Punjab                                                      ","Amritsar","26","9"
"429","508","Shri  Harischandra Deoram  Chavan                                            ","15","8","Maharashtra                                                 ","Dindori","26","24"
"430","509","Shri  Haribhau  Jawale                                            ","15","8","Maharashtra                                                 ","Raver","26","25"
"431","510","Shri   G.M.  Siddeswara                                        ","15","8","Karnataka                                                   ","Davanagere","26","12"
"432","511","Shri  Dushyant  Singh                                             ","15","8","Rajasthan                                                   ","Jhalawar-Baran","26","23"
"433","512","Shri  Bishnu Pada  Ray                                               ","15","8","Andaman and Nicobar Islands                                 ","Andaman and Nicobar Islands","26","25"
"434","513","Shri  Uday  Singh                                             ","15","8","Bihar                                                       ","Purnia","26","21"
"435","514","Shri  Govind Prasad  Mishra                                            ","15","8","Madhya Pradesh                                              ","Sidhi","26","25"
"436","515","Shri  Dinubhai  Boghabhal   Solanki                               ","15","8","Gujarat                                                     ","Junagadh","26","7"
"437","516","Shri  Chandulal Sahu  Chandu Bhaiya  ","15","8","Chhattisgarh                                                ","Mahasamund","26","23"
"438","517","Shri  Bhupendra  Singh                                             ","15","8","Madhya Pradesh                                              ","Sagar","26","23"
"439","518","Shri  Sudarshan  Bhagat                                            ","15","8","Jharkhand                                                   ","Lohardaga","26","25"
"440","519","Dr.  Sanjay  Jaiswal                                           ","15","8","Bihar                                                       ","Paschim Champaran","26","25"
"441","520","Shri  Prabhatsinh  Pratapsinh Chauhan                                ","15","8","Gujarat                                                     ","Panchmahal","26","26"
"442","521","Shri  Pashupati Nath  Singh                                             ","15","8","Jharkhand                                                   ","Dhanbad","26","25"
"443","522","Shri  Dinesh  Kashyap                                           ","15","8","Chhattisgarh                                                ","Bastar","26","17"
"444","523","Shri  Devidhan  Besra                                             ","15","8","Jharkhand                                                   ","Rajmahal","26","20"
"445","524","Dr.  Bhola  Singh                                             ","15","8","Bihar                                                       ","Nawada","26","26"
"446","525","Shri  Devji M.  Patel                                             ","15","8","Rajasthan                                                   ","Jalore","26","26"
"447","526","Shri  C. R.  Patil                                             ","15","8","Gujarat                                                     ","Navsari","26","25"
"448","527","Shri  Balkrishna Khanderao  Shukla                                            ","15","8","Gujarat                                                     ","Vadodara","26","25"
"449","528","Shri  B. Y.  Raghavendra                                       ","15","8","Karnataka                                                   ","Shimoga","26","14"
"450","529","Shri  Arjun Ram  Meghwal                                           ","15","8","Rajasthan                                                   ","Bikaner","26","26"
"451","530","Shri  A.T. Nana  Patil                                             ","15","8","Maharashtra                                                 ","Jalgaon","26","24"
"452","531","Shri  Shivraj  Bhaiya                                            ","15","8","Madhya Pradesh                                              ","Damoh","26","26"
"453","532","Shri  Sonawane  Pratap Narayanrao                                 ","15","8","Maharashtra                                                 ","Dhule","26","8"
"454","533","Shri  Pradeep Kumar  Singh                                             ","15","8","Bihar                                                       ","Araria","26","24"
"455","534","Shri  Makhansingh  Solanki                                           ","15","8","Madhya Pradesh                                              ","Khargone","26","25"
"456","535","Shri  Chauhan  Mahendrasinh                                      ","15","8","Gujarat                                                     ","Sabarkantha","26","26"
"457","536","Shri  Madhusudan  Yadav                                             ","15","8","Chhattisgarh                                                ","Rajnandgaon","26","8"
"458","537","Shri  Lalubhai  B.  Patel                                             ","15","8","Daman and Diu                                               ","Daman and Diu","26","19"
"459","538","Dr.  Kiritbhai  Premajibhai    Solanki                            ","15","8","Gujarat                                                     ","Ahmedabad West","26","25"
"460","539","Shri  K. D.  Deshmukh                                          ","15","8","Madhya Pradesh                                              ","Balaghat","26","23"
"461","540","Shri  Janardhana  Swamy                                             ","15","8","Karnataka                                                   ","Chitradurga","26","19"
"462","541","Smt.  Kamla Devi  Patle                                             ","15","8","Chhattisgarh                                                ","Janjgir-Champa ","26","20"
"463","542","Smt.  Jyoti  Dhurve                                            ","15","8","Madhya Pradesh                                              ","Betul","26","26"
"464","543","Ms.  J.  Shantha                                           ","15","8","Karnataka                                                   ","Bellary","26","23"
"465","544","Smt.  Jayshreeben  Kanubhai    Patel                                 ","15","8","Gujarat                                                     ","Mehesana","26","23"
"466","545","Shri  Nishikant  Dubey                                             ","15","8","Jharkhand                                                   ","Godda","26","25"
"467","546","Shri  Natubhai Gomanbhai  Patel                                             ","15","8","Dadra and Nagar Haveli                                      ","Dadra and Nagar Haveli","26","4"
"468","547","Shri    Naranbhai   Kachhadia                             ","15","8","Gujarat                                                     ","Amreli","26","25"
"469","548","Shri  Nalin Kumar  Kateel                                            ","15","8","Karnataka                                                   ","Dakshina Kannada","26","23"
"470","549","Shri  Murarilal  Singh                                             ","15","8","Chhattisgarh                                                ","Surguja","26","21"
