Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
77,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of article 58, etc.).",LAW AND JUSTICE,Bhola Singh Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1905LS.pdf
78,2012,"The Sanskrit Language (Compulsory Teaching in Schools) Bill, 2012.",HUMAN RESOURCE DEVELOPMENT,Bhola Singh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/1988LS.pdf
79,2012,"The Protection of Human Rights (Amendment) Bill, 2012 (Amendment of section 2, etc.).",HOME AFFAIRS,Bhola Singh Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2144LS.pdf
80,2012,"The Persons Living Below Poverty Line (Reservation of Vacancies in Posts and Services) Bill, 2012.","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Hansraj Gangaram Ahir Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2145LS.pdf
81,2012,"The National Solar Energy Authority Bill, 2012.",NON-CONVENTIONAL ENERGY SOURCES,Hansraj Gangaram Ahir Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2237LS.pdf
82,2012,"The Old Age Pension Bill, 2012.",RURAL DEVELOPMENT,Basudeb Acharia Shri,22/02/2013,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2187LS.pdf
83,2012,"The Naxal Affected States Development Council Bill, 2012.",PLANNING,Hansraj Gangaram Ahir Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2238LS.pdf
85,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of article 214).",LAW AND JUSTICE,Jai Prakash Agarwal Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2324LS.pdf
87,2012,"The Drugs (Price Control) Bill, 2012.",HEALTH AND FAMILY WELFARE,M. K. Raghavan Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2335LS.pdf
89,2012,"The Constitution (Amendment) Bill, 2012 (Amendment of the Eighth Schedule).",HOME AFFAIRS,Saroj Pandey,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2336LS.pdf
90,2012,"The Electricity (Priority Supply to Metropolitan Areas) Bill, 2012.",POWER,Jai Prakash Agarwal Shri,07/12/2012,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2435LS.pdf
91,2012,"The High Court of Kerala (Establishment of a Permanent Bench at Kozhikode) Bill, 2012.",LAW AND JUSTICE,M. K. Raghavan Shri,07/12/2012,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/2436LS.pdf
