Bill No.,Bill Year,Short Title of Bill,Ministry,Member Name,Date of Introduction,Bill Category,Status,URL for Bill As Introduced
67,2006,"The National Commission for Small and Marginal Traders Bill, 2006",LABOUR AND EMPLOYMENT,P. Jaya Prada Nahata Smt.,08/12/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
70,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 124, etc.)",HOME AFFAIRS,C.K. Chandrappan Shri,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
71,2006,"The Cinema Artists Welfare Bill, 2006",LABOUR AND EMPLOYMENT,P. Jaya Prada Nahata Smt.,08/12/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
72,2006,"The Electoral Reforms Commission Bill, 2006",LAW AND JUSTICE,C.K. Chandrappan Shri,24/11/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
77,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 370)",HOME AFFAIRS,Bachi Singh Rawat Shri,12/12/2008,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
78,2006,"The Code of Criminal Procedure (Amendment) Bill, 2006 (Amendment of section 125)",HOME AFFAIRS,Bachi Singh Rawat Shri,24/11/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
79,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of articles 102 and 191)",LAW AND JUSTICE,Bachi Singh Rawat Shri,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
80,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 51A)",LAW AND JUSTICE,Bachi Singh Rawat Shri,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
81,2006,"The Fruit and Vegetable Board Bill, 2006",AGRICULTURE,Mohan Singh Shri,24/11/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
82,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 312)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Rajagopal Lagadapati Shri,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
83,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 85)",PARLIAMENTARY AFFAIRS,Gurudas Das Gupta Shri,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
84,2006,"The Constitution (Amendment) Bill, 2006 (Amendment of article 15)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Raman Senthil Dr.,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
85,2006,"The Indian Medical Council (Amendment) Bill, 2006 (Amendment of section 3, etc.)",HEALTH AND FAMILY WELFARE,Raman Senthil Dr.,08/12/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
86,2006,"The Women Welfare Bill, 2006",WOMEN AND CHILD DEVELOPMENT,Archana Nayak Smt.,08/12/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
87,2006,"The Farmers (Old Age Pension) Bill, 2006",SOCIAL JUSTICE AND EMPOWERMENT,Archana Nayak Smt.,08/12/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
1,2005,"The Free and Compulsory Education Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Brajesh Pathak Shri,11/03/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
2,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 25A)",HOME AFFAIRS,Adityanath Yogi Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
3,2005,"The Constitution (Amendment) Bill, 2005 (Omission of article 44, etc.)",,Adityanath Yogi Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
4,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 1)",HOME AFFAIRS,Adityanath Yogi Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
5,2005,"The Population Control Bill, 2005",HEALTH AND FAMILY WELFARE,Bachi Singh Rawat Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
6,2005,"The Special Courts for Women Bill, 2005",,Daggubati Purandareswari Smt.,24/03/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
7,2005,"The Abolition of Begging Bill, 2005",SOCIAL JUSTICE AND EMPOWERMENT,Ramdas Athawale Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
8,2005,"The Constitution (Amendment) Bill, 2005 (Substitution of new article for article 37)",,Mohan Singh Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
9,2005,"The Youth Welfare Bill,2005",YOUTH AFFAIRS AND SPORTS,Krishna Tirath Smt.,24/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
10,2005,"The Safai Karamcharis Insurance Scheme Bill,2005",SOCIAL JUSTICE AND EMPOWERMENT,Krishna Tirath Smt.,24/03/2005,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
11,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 324)",,Mohan Singh Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
12,2005,"The Central Himalayan States Development Council Bill, 2005",PLANNING,Bachi Singh Rawat Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
13,2005,"The Constitution (Scheduled Castes) Order Amendment Bill, 2005 (Amendment of the Schedule)",SOCIAL JUSTICE AND EMPOWERMENT,Basudev Acharia Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
14,2005,"The Delimitation (Amendment) Bill, 2005 (Amendment of section 2)",,Bachi Singh Rawat Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
15,2005,"The Free and Uniform Education Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Brajesh Pathak Shri,11/03/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
16,2005,"The Indian Penal Code (Amendment) Bill, 2005 (Amendment of section 304)",HOME AFFAIRS,Krishna Tirath Shri,24/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
17,2005,"The Government of Union Territory of Daman and Diu Bill,2005",HOME AFFAIRS,Dahya Bhai V. Patel Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
18,2005,"The Scheduled Castes and Scheduled Tribes (Reservation in Services) Bill, 2005","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Brajesh Pathak Shri,11/03/2005,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
19,2005,"The Provision of Identification Marks on Security Papers Bill, 2005",,S.P.Y. Reddy Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
20,2005,"The Prohibition of Extravagant Expenditure on Marriages Bill, 2005",,Sambasiva Rayapati Rao Shri,12/08/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
21,2005,"The Bureau of Accountability Bill, 2005","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Mohan Singh Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
22,2005,"The Electricity (Priority Supply to Rural Areas and Sector) Bill, 2005",POWER,Sambasiva Rayapati Rao Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
23,2005,"The Prevention to Insults to National Honour (Amendment) Bill, 2005 (Insertion of new section 4)",HOME AFFAIRS,Sambasiva Rayapati Rao Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
25,2005,"The Poor and Destitute Widows (Rehabilitation and Welfare) Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Ramdas Athawale Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
26,2005,"The Working Journalists and other Newspaper Employees (Conditions of Service) and Miscellaneous Provisions(Amendment) Bill, 2005( Insertion of New Sections 13AB, 13AC and 13AD)",,Iqbal Ahmed Saradgi Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
27,2005,"The Crop Insurance Bill,2005",AGRICULTURE,Iqbal Ahmed Saradgi Shri,11/03/2005,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
28,2005,"The Compulsory Military Training Bill,2005",DEFENCE,Iqbal Ahmed Saradgi Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
29,2005,"The Protection of Privacy and Prevention of Video Voyeurism Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Pawan Kumar Bansal Shri,11/03/2005,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
30,2005,"The High Court of Tripura Bill,2005",,M. Jagannath Dr.,24/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
31,2005,"The Abolition of Child Labour Bill, 2005",,Iqbal Ahmed Saradgi Shri,11/03/2005,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
33,2005,"The Airlines (Penalty for Delays) Bill,2005",CIVIL AVIATION,Kashi Ram Rana Shri,11/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
34,2005,"The Tobacco Growers (Benefit) Bill, 2005",COMMERCE AND INDUSTRY,Sambasiva Rayapati Rao Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
38,2005,"The Compulsory Registration of Religious Conversions Bill,2005",HOME AFFAIRS,Kashi Ram Rana Shri,11/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
42,2005,"The Representation of the People (Amendment) Bill, 2005 (Amendment of section 8)",LAW AND JUSTICE,Mohan Singh Shri,24/03/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
43,2005,"The Communal Violence(Prevention,Control and Rehabilitation of Victims) Bill,2005",HOME AFFAIRS,Ajit Singh Shri,24/03/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
50,2005,"The States Reorganisation Commission Bill, 2005",HOME AFFAIRS,Subodh Mohite Shri,29/07/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
51,2005,"The Private Schools (Regulation) Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Kashi Ram Rana Shri,29/07/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
52,2005,"The Forest (Conservation) Amendment Bill, 2005 (Insertion of new section 3C)",ENVIRONMENT AND FORESTS,Bachi Singh Rawat Shri,29/07/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
53,2005,"The Backward Areas Development Board Bill, 2005",PLANNING,Subodh Mohite Shri,29/07/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
54,2005,"The Voluntary Organisations (Regulation) Bill, 2005",PLANNING,Kashi Ram Rana Shri,29/07/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
55,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 31)",RURAL DEVELOPMENT,Brajesh Pathak Shri,29/07/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
56,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of articles 124 and 217)",,A.P. Abdullakutty Shri,13/05/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
57,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 24A)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Subodh Mohite Shri,29/07/2005,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
58,2005,"The Indian Penal Code (Amendment) Bill, 2005 (Amendment of section 375)",HOME AFFAIRS,A.P. Abdullakutty Shri,13/05/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
59,2005,"The National Parks Bill, 2005",ENVIRONMENT AND FORESTS,Subodh Mohite Shri,29/07/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
60,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 16 and Ninth Schedule)","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Mani Charenamai Shri,29/04/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
61,2005,"The State of Uttaranchal (Regularisation and Conversion of the Pre-1980 Settlements on Forest Lands into Revenue Lands) Bill, 2005",ENVIRONMENT AND FORESTS,K.C. Singh Baba Shri,29/04/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
66,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of the Seventh Schedule)",AGRICULTURE,Daggubati Purandareswari Smt.,13/05/2005,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
67,2005,"The Commercial Crops Workers (Welfare) Bill, 2005",AGRICULTURE,A.P. Abdullakutty Shri,13/05/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
77,2005,"The Old Age Pension and Rehabilitation Bill, 2005",SOCIAL JUSTICE AND EMPOWERMENT,Krishna Tirath Shri,12/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
78,2005,"The Airlines Regulatory Authority Bill, 2005",CIVIL AVIATION,Chandrakant Bhaurao Khaire Shri,29/07/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
79,2005,"The Constitution (Amendment) Bill, 2005 (Substitution of new article for article 253,etc.)",EXTERNAL AFFAIRS,M.P. Veerendra Kumar Shri,12/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
81,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 16A)",SOCIAL JUSTICE AND EMPOWERMENT,Chandrakant Bhaurao Khaire Shri,29/07/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
82,2005,"The Constitution (Amendment) Bill, 2005 (Substitution of new article for article 130)",,Suresh Kurup Adv.,12/08/2005,Money Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
83,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 371)",HOME AFFAIRS,Chandrakant Bhaurao Khaire Shri,29/07/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
84,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 19)",HOME AFFAIRS,Brajesh Pathak Shri,29/07/2005,Constitutional Amendment Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
85,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 200, etc.)",HOME AFFAIRS,Hannan Mollah Shri,29/07/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
86,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 16A)",,Brajesh Pathak Shri,29/07/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
87,2005,"The Agricultural Workers Welfare Bill, 2005",,Hannan Mollah Shri,29/07/2005,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
88,2005,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2005 (Amendment of the Schedule)",TRIBAL AFFAIRS,Kiren Rijiju Shri,29/07/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
89,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 21B)",HOME AFFAIRS,Brajesh Pathak Shri,29/07/2005,Financial Bill,,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
90,2005,"The Coffee Growers Welfare Bill, 2005",COMMERCE AND INDUSTRY,M.P. Veerendra Kumar Shri,12/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
91,2005,"The Payment of Bonus (Amendment) Bill, 2005 (Amendment of section 2, etc.)",,Gingee N Ramachandran Shri,12/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
92,2005,"The Family Courts (Amendment) Bill, 2005 (Amendment of section 7, etc.)",,C.K. Chandrappan Shri,12/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
93,2005,"The Payment of Wages (Amendment) Bill, 2005 (Amendment of section 1)",,Gingee N Ramachandran Shri,12/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
94,2005,"The Contract Labour (Regulation and Abolition) (Amendment) Bill, 2005 (Amendment of section 10)",,Gingee N Ramachandran Shri,12/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
95,2005,"The Industrial Disputes (Amendment) Bill, 2005 (Ament of section 2A, etc.)",,Gingee N Ramachandran Shri,12/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
96,2005,"The National Child Welfare Board Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Sambasiva Rayapati Rao Shri,12/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
105,2005,"The Constitution (Amendment) Bill, 2005 (Substitution of new article for article 48A)",ENVIRONMENT AND FORESTS,Daggubati Purandareswari Smt.,25/08/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
107,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of the Eighth Schedule)",HOME AFFAIRS,C.K. Chandrappan Shri,25/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
108,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of the Seventh Schedule)",HUMAN RESOURCE DEVELOPMENT,Lal Singh Chaudhary,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
110,2005,"The Promotion of Small Family Bill, 2005",HEALTH AND FAMILY WELFARE,Balasaheb Vikhe Patil Shri,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
111,2005,"The Forest (Conservation) Amendment BIll, 2005 (Amendment of section 2)",ENVIRONMENT AND FORESTS,Bachi Singh Rawat Shri,25/08/2005,Ordinance Replacing Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
112,2005,"The Health Insurance (For Living Below Poverty Line) Bill, 2005",HEALTH AND FAMILY WELFARE,Kavuru Samba Siva Rao Shri,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
113,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of the Seventh Schedule)",HOME AFFAIRS,C.K. Chandrappan Shri,25/08/2005,Ordinance Replacing Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
114,2005,"The Citizens (Identity Card) Bill, 2005",HOME AFFAIRS,Kavuru Samba Siva Rao Shri,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
117,2005,"The Agricultural Insurance Scheme Bill, 2005",AGRICULTURE,Balasaheb Vikhe Patil Shri,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
118,2005,"The Population Control Bill, 2005",HEALTH AND FAMILY WELFARE,Daggubati Purandareswari Smt.,25/08/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
119,2005,"The National Social Security Bill, 2005",SOCIAL JUSTICE AND EMPOWERMENT,Balasaheb Vikhe Patil Shri,25/08/2005,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
120,2005,"The Constitution (Scheduled Castes) Order (Amendment) Bill, 2005 (Amendment of paragraph 3, etc.)",SOCIAL JUSTICE AND EMPOWERMENT,C.K. Chandrappan Shri,25/08/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
121,2005,"The Inter-State River Water Regulatory Authority Bill, 2005",WATER RESOURCES,Mohan Singh Shri,25/08/2005,Financial Bill,Withdrawn,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
125,2005,"The Provision of Social Security to Old Persons Bill, 2005",SOCIAL JUSTICE AND EMPOWERMENT,Kavuru Samba Siva Rao Shri,25/11/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
126,2005,"The Public Premises (Eviction of Unauthorised Occupants) Amendment Bill, 2005 (Amendment of section 2)",URBAN DEVELOPMENT AND POVERTY ALLEVIATION,Ramdas Athawale Shri,25/11/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
127,2005,"The Eradication of Unemployment Bill, 2005",,Ramdas Athawale Shri,25/11/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
128,2005,"The Scheduled Castes, Scheduled Tribes and Other Backward Classes (Reservation in Services and Educational Institutions) Bill, 2005","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",A. Krishnaswamy Shri,25/11/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
129,2005,"The Meritorious Students (Assistance in Higher Studies) Bill, 2005",HUMAN RESOURCE DEVELOPMENT,K.C. Singh Baba Shri,25/11/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
130,2005,"The Inter-Caste Marriages (Reservation Provisions) Bill, 2005","PERSONNEL, PUBLIC GRIEVANCES AND PENSIONS",Salarapatty Kuppusamy Kharventhan Shri,25/11/2005,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
131,2005,"The Asiatic Society of Mumbai Bill, 2005.",,C.K. Chandrappan Shri,25/11/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
132,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 174)",HOME AFFAIRS,Mohan Singh Shri,12/09/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
133,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 51B)",,Mohan Singh Shri,12/09/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
134,2005,"The Constitution (Amendment) Bill, 2005 (Amendment of article 158)",HOME AFFAIRS,Mohan Singh Shri,12/09/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
135,2005,"The Constitution (Amendment) Bill, 2005 (Insertion of new article 262A)",WATER RESOURCES,Kavuru Samba Siva Rao Shri,12/09/2005,Constitutional Amendment Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
136,2005,"The Provision of Infrastructural Facilities in All Educational Institutions Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Kavuru Samba Siva Rao Shri,12/09/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
137,2005,"The Petrol Pump Workers (Welfare) Bill, 2005",PETROLEUM AND NATURAL GAS,K.S. Manoj Dr.,12/09/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
138,2005,"The Fishermen (Welfare) Bill, 2005",AGRICULTURE,K.S. Manoj Dr.,12/09/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
139,2005,"The Mega Projects (Timely Completion) Bill, 2005",STATISTICS AND PROGRAMME IMPLEMENTATION,Kavuru Samba Siva Rao Shri,12/09/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
140,2005,"The Children of Parents Living Below Poverty Line (Special Educational Facilities) Bill, 2005",HUMAN RESOURCE DEVELOPMENT,Suresh Kurup Adv.,12/09/2005,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
141,2005,"The Compulsory Registration of Marriages Bill, 2005",,Subodh Mohite Shri,28/07/2006,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
142,2005,"The Code of Criminal Procedure (Amendment) Bill, 2005 (Amendment of section 2, etc.)",HOME AFFAIRS,Subodh Mohite Shri,28/07/2006,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
144,2005,"The Indian Medicines Development Corporation Bill, 2005",HEALTH AND FAMILY WELFARE,Subodh Mohite Shri,28/07/2006,Financial Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
145,2005,Cinematograph (Amendment) Bill 2005 (Amendment of section 5B),INFORMATION AND BROADCASTING,Subodh Mohite Shri,28/07/2006,Ordinary Bill,Pending,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
146,2005,"The Forest Conservation (Amendment) Bill, 2005 (Insertion of new section 3C)",ENVIRONMENT AND FORESTS,Hansraj Gangaram Ahir Shri,03/03/2006,Ordinary Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
147,2005,"The Pre-Examination Coaching Centres Regulatory Authority Bill, 2005.",HUMAN RESOURCE DEVELOPMENT,Mohan Singh Shri,17/02/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/147_2005.pdf
148,2005,"The Special Irrigation Development Fund (For Forest Areas) Bill, 2005",WATER RESOURCES,Hansraj Gangaram Ahir Shri,03/03/2006,Financial Bill,Lapsed,http://164.100.24.219/BillsTexts/LSBillTexts/asintroduced/
