Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
103,1990,"The Public LIability Insurance Bill, 1990",ENVIRONMENT AND FORESTS,31/05/1990,01/07/1991,NA,22/01/1991,6,Ordinary Bill,Passed,NA,NA,NA
104,1990,"The Chief Election Commissioner and other Elections Commissioners (Condition of Service) Bill, 1990",NA,31/05/1990,08/01/1991,NA,25/01/1991,11,Ordinary Bill,Passed,NA,NA,NA
106,1990,"The Salaries and Allowances of Officers of Parliament (Amendment) Bill, 1990",PARLIAMENTARY AFFAIRS,30/05/1990,30/05/1990,NA,06/03/1990,,Ordinary Bill,Passed,NA,NA,NA
107,1990,"The Constitution Seventy-second (Amendment) Bill, 1990",HOME AFFAIRS,31/05/1990,NA,NA,NA,,Ordinary Bill,Passed,NA,NA,NA
108,1990,"The Gift Tax Bill, 1990",NA,31/05/1990,NA,NA,NA,,Money Bill,NA,NA,NA,NA
124,1990,"The Ruller (Amendment) Bill, 1990",NA,08/08/1990,NA,NA,NA,,Money Bill,NA,NA,NA,NA
125,1990,The Armed Forces (Jammu & Kashmir) 1990,HOME AFFAIRS,08/08/1990,08/08/1990,NA,09/10/1990,21,Ordinary Bill,Passed,NA,NA,NA
128,1990,"The Constitution (Seventy-third Amendment) Bill, 1990",TEXTILES,16/08/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
131,1990,"The Multi-State Co-operative Societies (Amendment) Bill, 1990",AGRICULTURE,16/08/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
134,1990,"The Contonments (Amendment) Bill, 1990",DEFENCE,20/08/1990,28/12/1990,NA,15/01/1991,1,Ordinary Bill,Passed,NA,NA,NA
135,1990,"The Tobacco Board (Amendment) Bill, 1990",NA,20/08/1990,NA,NA,NA,,Ordinary Bill,NA,NA,NA,NA
136,1990,"The Tobacco Cess (Amendment) Bill, 1990",NA,20/08/1991,NA,NA,NA,,Money Bill,Lapsed,NA,NA,NA
140,1990,"The Prevention of illicit traffic in Narcotic Drugs and Psychotropic Substances (Amendment) Bill, 1990",NA,30/08/1990,09/03/1990,NA,13/09/1990,26,Ordinary Bill,Passed,NA,NA,NA
141,1990,"The Conservation of Foreign Exchange and Prevention of Smuggling Activites (Amendment) Bill , 1990",NA,23/08/1990,09/03/1990,NA,13/09/1990,27,Ordinary Bill,Passed,NA,NA,NA
142,1990,"The Salaries and Allowances of Leaders of Opposition in Parliament (Amendment) Bill, 1990",PARLIAMENTARY AFFAIRS,23/08/1990,01/10/1991,NA,22/01/1999,7,Ordinary Bill,Passed,NA,NA,NA
