Bill No,Year,Short Title of Bill,Ministry,Date of Introduction,Date of Passing in Lok Sabha,Date of Passing in Rajya Sabha,Date of Assent,Act No,Bill Category,Status,URL for Bills as Introduced,URL for Bills as Passed in Both Houses,URL of Errata
52,1961,"The High Court Judges (Conditions of Services) Amendment Bill, 1961",HOME AFFAIRS,29/08/1961,21/11/1961,05/12/1961,08/12/1961,50,Money Bill,Passed,NA,NA,NA
53,1961,"The Newspaper (Price and Page) Continuance Bill, 1961",INFORMATION AND BROADCASTING,28/08/1961,31/08/1961,04/09/1961,05/09/1961,36,Ordinary Bill,Passed,NA,NA,NA
54,1961,"The Deposit Insurance Corporation Bill, 1961",FINANCE,31/08/1961,08/09/1961,27/11/1961,07/12/1961,47,Financial Bill,Passed,NA,NA,NA
55,1961,"The Sugar Cess (Validation) Bill, 1961",FINANCE,01/09/1961,05/09/1961,07/09/1961,11/09/1961,38,Financial Bill,Passed,NA,NA,NA
56,1961,"The Appropriation (No.4) Bill, 1961",FINANCE,31/08/1961,01/09/1961,04/09/1961,08/09/1961,37,Money Bill,Passed,NA,NA,NA
57,1961,"The Sugar (Regulation of Production) Bill, 1961",FOOD PROCESSING INDUSTRIES,20/11/1961,28/11/1961,07/12/1961,17/12/1961,55,Financial Bill,Passed,NA,NA,NA
60,1961,"The Institute of Technology Bill, 1961",SCIENCE AND TECHNOLOGY,21/11/1961,25/11/1961,04/12/1961,19/12/1961,59,Financial Bill,Passed,NA,NA,NA
62,1961,"The Telegraph Wires (Unlawful Possession) Amendment Bill, 1961",COMMUNICATIONS AND INFORMATION TECHNOLOGY,28/11/1961,26/03/1962,30/03/1962,30/03/1962,15,Ordinary Bill,Passed,NA,NA,NA
63,1961,"The Iron Ore Mines Labour Welfare Cess Bill, 1961",LABOUR AND EMPLOYMENT,28/11/1961,08/12/1961,14/12/1961,19/12/1961,58,Financial Bill,Passed,NA,NA,NA
64,1961,"The Indian Railways (Second Amendment) Bill, 1961",RAILWAYS,28/11/1961,13/03/1962,28/03/1962,30/03/1962,7,Financial Bill,Passed,NA,NA,NA
66,1961,"The Constitution (Eleventh Amendment) Bill, 1961",LAW AND JUSTICE,30/11/1961,05/12/1961,12/12/1961,19/12/1961,NA,Ordinary Bill,Passed,NA,NA,NA
67,1961,"The Delhi University (Amendment) Bill, 1961",HUMAN RESOURCE DEVELOPMENT,02/12/1961,06/12/1961,14/12/1961,19/12/1961,61,Ordinary Bill,Passed,NA,NA,NA
68,1961,"The Indian Tariff (Amendment) Bill, 1961",COMMERCE AND INDUSTRY,30/11/1961,06/12/1961,14/12/1961,17/12/1961,56,Money Bill,Passed,NA,NA,NA
69,1961,"The Dock Workers (Regulation of Employment) Amendment Bill, 1961",LABOUR AND EMPLOYMENT,02/12/1961,13/03/1962,28/03/1962,30/03/1962,8,Ordinary Bill,Passed,NA,NA,NA
70,1961,"The State Financial Corporation (Amendment) Bill, 1961",FINANCE,02/12/1961,13/03/1962,30/03/1962,30/03/1962,6,Financial Bill,Passed,NA,NA,NA
71,1961,"The Visva-Bharti (Amendment) Bill, 1961",HUMAN RESOURCE DEVELOPMENT,04/12/1961,06/12/1961,13/12/1961,19/12/1961,60,Ordinary Bill,Passed,NA,NA,NA
72,1961,"The Appropriation (Railways) No. 4 Bill, 1961",RAILWAYS,04/12/1961,05/12/1961,07/12/1961,13/12/1961,54,Money Bill,Passed,NA,NA,NA
73,1961,"The Appropriation (No.5) Bill, 1961",FINANCE,06/12/1961,06/12/1961,14/12/1961,17/12/1961,57,Money Bill,Passed,NA,NA,NA
4,1960,"The Plantations Labour (Amendment) Bill, 1960.",LABOUR AND EMPLOYMENT,15/02/1960,05/08/1960,01/09/1960,13/09/1960,34,Ordinary Bill,Passed,NA,NA,NA
5,1960,"The Tripura Municipal Law (Repeal) Bill, 1960.",HEALTH AND FAMILY WELFARE,22/02/1960,03/08/1960,29/08/1960,09/09/1960,31,Ordinary Bill,Passed,NA,NA,NA
6,1960,"The Appropriation Bill, 1960",FINANCE,24/02/1960,25/02/1960,29/02/1960,07/03/1960,3,Money Bill,Passed,NA,NA,NA
7,1960,"The Finance Bill, 1960.",FINANCE,29/02/1960,21/04/1960,27/04/1960,28/04/1960,13,Money Bill,Passed,NA,NA,NA
8,1960,"The Appropriation (Railways) Bill, 1960.",RAILWAYS,04/03/1960,07/03/1960,10/03/1960,16/03/1960,NA,Money Bill,Passed,NA,NA,NA
9,1960,"The Appropriation (Railways) No. 2 Bill, 1960.",RAILWAYS,07/03/1960,08/03/1960,10/03/1960,16/03/1960,8,Money Bill,Passed,NA,NA,NA
11,1960,"The Appropriation (Vote on Account) Bill, 1960.",FINANCE,10/03/1960,10/03/1960,11/03/1960,19/03/1960,9,Money Bill,Passed,NA,NA,NA
13,1960,"The Bombay Reorganisation Bill, 1960.",HOME AFFAIRS,28/03/1960,19/04/1960,23/04/1960,25/04/1960,11,Financial Bill,Passed,NA,NA,NA
20,1960,"The Representation of the People (Amendment) Bill, 1960.",LAW AND JUSTICE,18/04/1960,26/04/1960,28/04/1960,08/05/1960,20,Ordinary Bill,Passed,NA,NA,NA
21,1960,"The Estate Duty (Amenmdnet) Bill, 1960.",FINANCE,21/04/1960,26/04/1960,28/04/1960,06/05/1960,16,Money Bill,Passed,NA,NA,NA
22,1960,"The Appropriation (No. 2) Bill, 1960.",FINANCE,18/04/1960,19/04/1960,21/04/1960,26/04/1960,12,Money Bill,Passed,NA,NA,NA
23,1960,"The Reserve Bank of India (Amendment) Bill, 1960.",FINANCE,22/04/1960,26/04/1960,28/04/1960,30/04/1960,14,Money Bill,Passed,NA,NA,NA
25,1960,"The Appropriation (Railways) No. 3 Bill, 1960.",RAILWAYS,26/04/1960,27/04/1960,28/04/1960,30/04/1960,15,Money Bill,Passed,NA,NA,NA
26,1960,"The Taxation Law (Amendment) Bill, 1960.",FINANCE,29/04/1960,11/08/1960,29/08/1960,06/09/1960,28,Money Bill,Passed,NA,NA,NA
27,1960,"The Motor Transport Workers Bill, 1960.",LABOUR AND EMPLOYMENT,29/04/1960,04/05/1961,28/03/1961,20/05/1961,27,Financial Bill,Passed,NA,NA,NA
32,1960,"The Rubber (Amendment) Bill, 1960.",COMMERCE AND INDUSTRY,01/08/1960,05/08/1960,10/08/1960,20/08/1960,21,Financial Bill,Passed,NA,NA,NA
38,1960,"The Banking Companies (Amendment) Bill, 1960.",FINANCE,04/08/1960,11/08/1960,16/08/1960,26/08/1960,23,Ordinary Bill,Passed,NA,NA,NA
46,1960,"The International Development Association (Status, Immunities and Privileges) Bill, 1960.",FINANCE,10/08/1960,16/08/1960,31/08/1960,09/09/1960,32,Financial Bill,Passed,NA,NA,NA
47,1960,"The Standards of Weights and Measures (Amendment) Bill, 1960.",COMMERCE AND INDUSTRY,16/08/1960,30/08/1960,09/09/1960,21/09/1960,41,Financial Bill,Passed,NA,NA,NA
48,1960,"The Indian Trade Unions (Amendment) Bill, 1960.",LABOUR AND EMPLOYMENT,18/08/1960,30/08/1960,09/09/1960,21/09/1960,42,Financial Bill,Passed,NA,NA,NA
49,1960,"The Central Excises (Conwerism to Metric Units) Bill, 1960.",FINANCE,18/08/1960,30/08/1960,09/09/1960,20/09/1960,38,Money Bill,Passed,NA,NA,NA
53,1960,"The Appropriation (Railways) No. 4 Bill, 1960.",RAILWAYS,17/08/1960,18/08/1960,30/08/1960,06/09/1960,29,Money Bill,Passed,NA,NA,NA
54,1960,"The Appropriation (No. 3) Bill, 1960.",FINANCE,17/08/1960,18/08/1960,30/08/1960,06/09/1960,30,Money Bill,Passed,NA,NA,NA
62,1960,"The Custom Duties and Cesses (Conversion of Metric Units) Bill, 1960.",COMMERCE AND INDUSTRY,29/08/1960,06/09/1960,09/09/1960,21/09/1960,40,Financial Bill,Passed,NA,NA,NA
63,1960,"The Bilaspur Commercial Corporation (Repeal) Bill, 1960.",HOME AFFAIRS,30/08/1960,14/11/1960,06/12/1960,18/12/1960,47,Financial Bill,Passed,NA,NA,NA
64,1960,"The Appropriation (No. 4) Bill, 1960.",FINANCE,30/08/1960,31/08/1960,09/09/1960,15/09/1960,36,Money Bill,Passed,NA,NA,NA
68,1960,"The Banking Companies (Second Amendment) Bill, 1960.",FINANCE,03/09/1960,06/09/1960,09/09/1960,19/09/1960,37,Ordinary Bill,Passed,NA,NA,NA
69,1960,"The Indian Post Office (Amendment) Bill, 1960.",COMMUNICATIONS AND INFORMATION TECHNOLOGY,06/09/1960,08/12/1960,15/12/1960,23/12/1960,52,Money Bill,Passed,NA,NA,NA
70,1960,"The Motor Vehicles (Second Amendment) Bill, 1960.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",09/09/1960,14/11/1960,15/12/1960,23/12/1960,51,Ordinary Bill,Passed,NA,NA,NA
71,1960,"The Preference Shares (Regulation of Dividends) Bill, 1960.",FINANCE,06/09/1960,14/12/1960,19/12/1960,28/12/1960,63,Ordinary Bill,Passed,NA,NA,NA
72,1960,"The Employees Provident Funds (Amendment) Bill, 1960.",LABOUR AND EMPLOYMENT,09/09/1960,14/11/1960,01/12/1960,11/12/1960,46,Financial Bill,Passed,NA,NA,NA
73,1960,"The Mahendra Pratap Singh Estates (Repeal) Bill, 1960.",HOME AFFAIRS,14/11/1960,21/11/1960,06/12/1960,18/12/1960,48,Ordinary Bill,Passed,NA,NA,NA
74,1960,"The Preventive Detention (Continuance) Bill, 1960.",HOME AFFAIRS,18/11/1960,05/12/1960,22/12/1960,28/12/1960,61,Financial Bill,Passed,NA,NA,NA
75,1960,"The Forward Contracts (Regulation) Amendment Bill, 1960.",COMMERCE AND INDUSTRY,18/11/1960,09/12/1960,19/12/1960,28/12/1960,62,Financial Bill,Passed,NA,NA,NA
76,1960,"The Industrial Employment (Standing Orders) Amendment Bill, 1960.",LABOUR AND EMPLOYMENT,22/11/1960,14/12/1960,18/03/1961,02/05/1961,16,Financial Bill,Passed,NA,NA,NA
77,1960,"The Railways Passenger Fares (Amendment) Bill, 1960.",FINANCE,22/11/1960,12/12/1960,15/12/1960,23/12/1960,54,Money Bill,Passed,NA,NA,NA
81,1960,"The Tripura Excise Law (Repeal) Bill, 1960.",FINANCE,25/11/1960,12/12/1960,15/12/1960,23/12/1960,53,Money Bill,Passed,NA,NA,NA
84,1960,"The Maternity Benefit Bill, 1960.",LABOUR AND EMPLOYMENT,06/12/1960,20/11/1961,29/11/1961,12/12/1961,53,Financial Bill,Passed,NA,NA,NA
85,1960,"The Appropriation (Railways) No. 5 Bill, 1960.",RAILWAYS,06/12/1960,07/12/1960,12/12/1960,23/12/1960,49,Money Bill,Passed,NA,NA,NA
86,1960,"The Appropriation (No. 5) Bill, 1960.",FINANCE,08/12/1960,09/12/1960,15/12/1960,23/12/1960,50,Money Bill,Passed,NA,NA,NA
87,1960,"The Working of Heavy Packages (Amendment) Bill, 1960.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",21/12/1960,02/05/1961,14/08/1961,25/08/1961,29,Financial Bill,Passed,NA,NA,NA
88,1960,"The Indian Tariff (Amendment) Bill, 1960.",COMMERCE AND INDUSTRY,13/12/1960,16/12/1960,19/12/1960,24/12/1960,55,Money Bill,Passed,NA,NA,NA
89,1960,"The Telegraph Laws (Amendment) Bill, 1960.",COMMUNICATIONS AND INFORMATION TECHNOLOGY,19/12/1960,23/12/1960,27/03/1961,02/05/1961,15,Ordinary Bill,Passed,NA,NA,NA
90,1960,"The Constitution (Ninth Amendment) Bill, 1960.",EXTERNAL AFFAIRS,16/12/1960,20/12/1960,23/12/1960,28/12/1960,NA,Financial Bill,Passed,NA,NA,NA
91,1960,"The Aquired Territories (Merger) Bill, 1960.",EXTERNAL AFFAIRS,16/12/1960,19/12/1960,23/12/1960,28/12/1960,64,Financial Bill,Passed,NA,NA,NA
92,1960,"The Specific Relief Bill, 1960.",LAW AND JUSTICE,23/12/1960,NA,NA,NA,NA,Ordinary Bill,Lapsed,NA,NA,NA
94,1960,"The Industrial Finance Corporation (Amendment) Bill, 1960.",FINANCE,19/12/1960,21/12/1960,23/12/1960,29/12/1960,66,Financial Bill,Passed,NA,NA,NA
95,1960,"The Limitation Bill, 1960.",LAW AND JUSTICE,23/12/1960,NA,NA,NA,NA,Ordinary Bill,Lapsed,NA,NA,NA
96,1960,"The Criminal Law Amendment Bill, 1960.",HOME AFFAIRS,23/12/1960,24/04/1961,03/05/1961,17/05/1961,23,Financial Bill,Passed,NA,NA,NA
97,1960,"The Two-Member Constituencies (Abolition) Bill, 1960.",LAW AND JUSTICE,23/12/1960,20/02/1961,02/03/1961,09/03/1961,1,Ordinary Bill,Passed,NA,NA,NA
3,1959,"The Indian Income-tax (Amendment) Bill, 1959.",FINANCE,09/02/1959,24/02/1959,05/03/1959,12/03/1959,1,Money Bill,Passed,NA,NA,NA
8,1959,"The Displaced Persons (Compensation and Rehabilitation) Amendment Bill, 1959.",HOUSING AND URBAN POVERTY ALLEVIATION,14/04/1959,04/05/1959,07/05/1959,19/05/1959,21,Ordinary Bill,Passed,NA,NA,NA
11,1959,"The State Bank of India (Amendment) Bill, 1959.",FINANCE,23/02/1959,11/08/1959,17/08/1959,28/08/1959,26,Financial Bill,Passed,NA,NA,NA
12,1959,"The Banking Companies (Amendment) Bill, 1959.",FINANCE,23/02/1959,12/08/1959,17/08/1959,05/09/1959,33,Ordinary Bill,Passed,NA,NA,NA
13,1959,"The Appropriation Bill, 1959.",FINANCE,24/02/1959,25/02/1959,05/03/1959,12/03/1959,2,Money Bill,Passed,NA,NA,NA
15,1959,"The State Bank of India (Subsidiary Banks) Bill, 1959.",FINANCE,04/03/1959,12/08/1959,18/08/1959,10/09/1959,38,Financial Bill,Passed,NA,NA,NA
17,1959,"The Finance Bill, 1959.",FINANCE,28/02/1959,22/04/1959,28/04/1959,28/04/1959,12,Money Bill,Passed,NA,NA,NA
18,1959,"The Indian Lighthouse (Amendment) Bill, 1959.",ROAD TRANSPORT AND HIGHWAYS,09/03/1959,23/04/1959,28/04/1959,08/08/1959,16,Ordinary Bill,Passed,NA,NA,NA
20,1959,"The Appropriation (Railways) Bill, 1959.",RAILWAYS,06/03/1959,09/03/1959,13/03/1959,14/03/1959,5,Money Bill,Passed,NA,NA,NA
21,1959,"The Appropriation (Railways) No. 2 Bill, 1959.",RAILWAYS,09/03/1959,10/03/1959,13/03/1959,14/03/1959,6,Money Bill,Passed,NA,NA,NA
22,1959,"The Appropriation (Vote on Account) Bill, 1959.",FINANCE,12/03/1959,12/03/1959,13/03/1959,14/03/1959,7,Money Bill,Passed,NA,NA,NA
24,1959,"The Coal Grading Board (Repeal) Bill, 1959.",MINES,26/03/1959,26/03/1959,30/04/1959,09/05/1959,17,Ordinary Bill,Passed,NA,NA,NA
27,1959,"The Bengal Finance (Sales Tax) Delhi Amendment Bill, 1959.",FINANCE,30/03/1959,01/05/1959,07/05/1959,12/05/1959,20,Money Bill,Passed,NA,NA,NA
31,1959,"the Appropriation (No.2) Bill, 1959.",FINANCE,20/04/1959,20/04/1959,24/04/1959,28/04/1959,11,Money Bill,Passed,NA,NA,NA
32,1959,"The Employment Exchanges (Compulsory Notification of Vacancies) Bill, 1959.",LABOUR AND EMPLOYMENT,24/04/1959,04/08/1959,19/08/1959,02/09/1959,31,Financial Bill,Passed,NA,NA,NA
33,1959,"The Dowry Prohibition Bill, 1959.",LAW AND JUSTICE,24/04/1959,09/12/1959,30/11/1960,20/05/1961,28,Ordinary Bill,Passed,NA,NA,NA
35,1959,"The Road Transport Corporation (Amendment) Bill, 1959.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",27/04/1959,03/08/1959,17/08/1959,01/09/1959,28,Ordinary Bill,Passed,NA,NA,NA
36,1959,"The Reserve Bank of India (Amendment) Bill, 1959.",FINANCE,27/04/1959,29/04/1959,30/04/1959,01/05/1959,14,Money Bill,Passed,NA,NA,NA
37,1959,"The Companies (Amendment) Bill, 1959.",COMMERCE AND INDUSTRY,01/05/1959,01/12/1960,14/12/1960,28/12/1960,65,Financial Bill,Passed,NA,NA,NA
38,1959,"The Appropriation (No. 3) Bill, 1959.",FINANCE,05/05/1959,06/05/1959,08/05/1959,12/05/1959,18,Money Bill,Passed,NA,NA,NA
39,1959,"The Appropriation (Railways) No. 3 Bill, 1959.",RAILWAYS,06/05/1959,06/05/1959,08/05/1959,12/05/1959,19,Money Bill,Passed,NA,NA,NA
46,1959,"The Wakf (Amendment) Bill, 1959.",POWER,03/08/1959,11/08/1959,21/08/1959,02/09/1959,30,Ordinary Bill,Passed,NA,NA,NA
49,1959,"The Rajasthan and Madhya Pradesh (Transfer of Territories) Bill, 1959.",HOME AFFAIRS,03/08/1959,11/08/1959,03/09/1959,18/09/1959,47,Ordinary Bill,Passed,NA,NA,NA
50,1959,"The Public Wakfs (Extension of Limitation) Bill, 1959.",LAW AND JUSTICE,03/08/1959,07/08/1959,19/08/1959,01/09/1959,29,Ordinary Bill,Passed,NA,NA,NA
51,1959,"The International Monetary Fund and Bank (Amendment) Bill, 1959.",FINANCE,06/08/1959,22/08/1959,27/08/1959,28/08/1959,25,Money Bill,Passed,NA,NA,NA
52,1959,"The Oil and Natural Gas Commission Bill, 1959.",PETROLEUM AND NATURAL GAS,07/08/1959,20/08/1959,02/09/1959,18/09/1959,43,Financial Bill,Passed,NA,NA,NA
53,1959,"The Andhra Pradesh and Madras (Alteration of Boundaries) Bill, 1959.",HOME AFFAIRS,12/08/1959,23/11/1959,03/12/1959,24/12/1959,56,Ordinary Bill,Passed,NA,NA,NA
56,1959,"The Central Excises and Salt (Amendment) Bill, 1959.",FINANCE,20/08/1959,25/08/1959,02/09/1959,08/09/1959,37,Money Bill,Passed,NA,NA,NA
59,1959,"The Kerala Local Authorities Laws (Amendment) Bill, 1959.",HOME AFFAIRS,24/08/1959,25/08/1959,28/08/1959,29/08/1959,27,Ordinary Bill,Passed,NA,NA,NA
60,1959,"The Government Savings Banks (Amendment) Bill, 1959.",FINANCE,27/08/1959,31/08/1959,03/09/1959,18/09/1959,45,Financial Bill,Passed,NA,NA,NA
61,1959,"The Public Debt (Amendment) Bill, 1959.",FINANCE,27/08/1959,31/08/1959,07/09/1959,18/09/1959,44,Financial Bill,Passed,NA,NA,NA
62,1959,"The Government Savings Certificates Bill, 1959.",FINANCE,27/08/1959,31/08/1959,07/09/1959,18/09/1959,46,Financial Bill,Passed,NA,NA,NA
63,1959,"The Appropriation (No. 4) Bill, 1959.",FINANCE,25/08/1959,27/08/1959,01/09/1959,08/09/1959,34,Money Bill,Passed,NA,NA,NA
64,1959,"The Appropriation (No. 5) Bill, 1959.",FINANCE,25/08/1959,27/08/1959,01/09/1959,08/09/1959,35,Money Bill,Passed,NA,NA,NA
65,1959,"The Appropriation (No. 6) Bill, 1959.",FINANCE,25/08/1959,27/08/1959,01/09/1959,08/09/1959,36,Money Bill,Passed,NA,NA,NA
66,1959,"The Geneva Conventions Bill, 1959",DEFENCE,31/08/1959,09/02/1960,16/02/1960,12/03/1960,6,Financial Bill,Passed,NA,NA,NA
67,1959,"The Kerala Appropriation Bill, 1959.",FINANCE,31/08/1959,01/09/1959,07/09/1959,12/09/1959,39,Money Bill,Passed,NA,NA,NA
68,1959,"The Travancore Cochin Vehicles Taxation (Amendment and Validation) Bill, 1959.",HOME AFFAIRS,02/09/1959,09/09/1959,11/09/1959,12/09/1959,42,Money Bill,Passed,NA,NA,NA
69,1959,"The Mines (Amendment) Bill, 1959",LABOUR AND EMPLOYMENT,04/09/1959,10/12/1959,21/12/1959,27/12/1959,62,Ordinary Bill,Passed,NA,NA,NA
70,1959,"The Appropriation (No.7) Bill, 1959",FINANCE,02/09/1959,03/09/1959,07/09/1959,12/09/1959,40,Money Bill,Passed,NA,NA,NA
77,1959,"The Indian Penal Code (Amendment) Bill, 1959",HOME AFFAIRS,16/11/1959,24/11/1959,02/12/1959,17/12/1959,52,Ordinary Bill,Passed,NA,NA,NA
78,1959,"The Haj Committee Bill, 1959",EXTERNAL AFFAIRS,16/11/1959,24/11/1959,01/12/1959,17/12/1959,51,Ordinary Bill,Passed,NA,NA,NA
79,1959,"The Constitution (Eighth Amendment) Bill, 1959",HOME AFFAIRS,16/11/1959,01/12/1959,07/12/1959,05/01/1960,NA,Ordinary Bill,Passed,NA,NA,NA
80,1959,"The Legal Practitioners Bill, 1959",LAW AND JUSTICE,19/11/1959,27/04/1961,04/05/1961,19/05/1961,25,Ordinary Bill,Passed,NA,NA,NA
81,1959,"The Kerala State Legislature (Delegation of Powers) Bill, 1959",HOME AFFAIRS,20/11/1959,02/12/1959,14/12/1959,17/12/1959,50,Ordinary Bill,Passed,NA,NA,NA
82,1959,"The Delhi Land Holdings (Ceiling) Bill, 1959",HOME AFFAIRS,25/11/1959,02/08/1960,11/08/1960,26/08/1960,24,Ordinary Bill,Passed,NA,NA,NA
87,1959,"The Indian Statistical Institute Bill, 1959.",PRIME MINISTER,30/11/1959,14/12/1959,17/12/1959,24/12/1959,57,Ordinary Bill,Passed,NA,NA,NA
88,1959,"The Tripura Land Revenue and Land Reforms Bill, 1959",HOME AFFAIRS,11/12/1959,03/08/1960,16/08/1960,21/09/1960,43,Financial Bill,Passed,NA,NA,NA
90,1959,"The Sugar (Special Excise Duty) Bill, 1959.",FINANCE,03/12/1959,17/12/1959,21/12/1959,24/12/1959,58,Financial Bill,Passed,NA,NA,NA
91,1959,"The Motor Vehicles (Amendment) Bill, 1959.",ROAD TRANSPORT AND HIGHWAYS,03/12/1959,22/12/1959,18/02/1960,11/03/1960,5,Ordinary Bill,Passed,NA,NA,NA
94,1959,"The Kerala Appropriation (No. 2) Bill, 1959.",FINANCE,03/12/1959,04/12/1959,09/12/1959,18/12/1959,53,Money Bill,Passed,NA,NA,NA
95,1959,"The Manipur Land Revenue and Land Reforms Bill, 1959.",HOME AFFAIRS,09/12/1959,02/08/1960,16/08/1960,13/09/1960,33,Financial Bill,Passed,NA,NA,NA
96,1959,"The Appropriation (No. 8) Bill, 1959.",FINANCE,14/12/1959,15/12/1959,17/12/1959,23/12/1959,55,Money Bill,Passed,NA,NA,NA
97,1959,"The Indian Tariff (Amendment) Bill, 1959.",COMMERCE AND INDUSTRY,14/12/1959,17/12/1959,21/12/1959,24/12/1959,60,Money Bill,Passed,NA,NA,NA
98,1959,"The Mineral Oils (Additional Duties of Excise and Customs) Amendment Bill, 1959.",FINANCE,16/12/1959,18/12/1959,21/12/1959,24/12/1959,59,Money Bill,Passed,NA,NA,NA
99,1959,"The Displaced Persons (Compensation and Rehabilitation) Second Amendment Bill, 1959.",URBAN DEVELOPMENT,15/12/1959,10/02/1960,16/02/1960,27/02/1960,2,Money Bill,Passed,NA,NA,NA
100,1959,"The Administration of Evacuee Property (Amendment) Bill, 1959.",URBAN DEVELOPMENT,15/02/1959,11/02/1960,18/02/1960,27/02/1960,1,Ordinary Bill,Passed,NA,NA,NA
2,1958,"The Central Sales Tax (Amendment) Bill, 1958.",FINANCE,14/02/1958,25/02/1958,27/02/1958,13/03/1958,5,Money Bill,Passed,NA,NA,NA
3,1958,"The Merchant Shipping Bill, 1958.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",14/02/1958,17/09/1958,25/09/1958,30/10/1958,44,Financial Bill,Passed,NA,NA,NA
7,1958,"The Control of Shipping (Continuance) Bill, 1958.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",25/02/1958,10/03/1958,13/03/1958,19/03/1958,9,Ordinary Bill,Passed,NA,NA,NA
8,1958,"The Appropriation Bill, 1958.",FINANCE,25/02/1958,26/02/1958,27/02/1958,13/03/1958,4,Money Bill,Passed,NA,NA,NA
11,1958,"The Rice Milling Industry (Regulation) Bill, 1958.",AGRICULTURE,03/03/1958,02/05/1958,07/05/1958,18/05/1958,21,Financial Bill,Passed,NA,NA,NA
16,1958,"The Finance Bill, 1958.",FINANCE,28/02/1958,23/04/1958,28/04/1958,28/04/1958,11,Money Bill,Passed,NA,NA,NA
17,1958,"The Gift Tax Bill, 1958.",FINANCE,28/02/1958,06/05/1958,09/05/1958,15/05/1958,18,Money Bill,Passed,NA,NA,NA
18,1958,"The Estates duty (Amendment) Bill, 1958.",FINANCE,28/02/1958,01/09/1958,09/09/1958,19/09/1958,33,Money Bill,Passed,NA,NA,NA
19,1958,"The Appropriation (Railways) Bill, 1958.",RAILWAYS,07/03/1958,08/03/1958,12/03/1958,18/03/1958,6,Money Bill,Passed,NA,NA,NA
22,1958,"The Appropriation (Vote on Account) Bill, 1958.",FINANCE,10/03/1958,11/03/1958,13/03/1958,19/03/1958,8,Money Bill,Passed,NA,NA,NA
25,1958,"The Appropriation (Railways) No. 2 Bill, 1958.",RAILWAYS,11/03/1958,12/03/1958,14/03/1958,20/03/1958,10,Money Bill,Passed,NA,NA,NA
28,1958,"The Indian Oaths (Amendment) Bill, 1958.",LAW AND JUSTICE,24/03/1958,26/04/1958,06/05/1958,15/05/1958,16,Ordinary Bill,Passed,NA,NA,NA
31,1958,"The Trade and Merchandise Marks Bill, 1958.",COMMERCE AND INDUSTRY,28/03/1958,27/08/1958,28/08/1958,17/09/1958,43,Financial Bill,Passed,NA,NA,NA
33,1958,"The Mines and Mineral (Regulation and Development) Amendment Bill, 1958.",MINES,28/03/1958,30/04/1958,01/05/1958,15/05/1958,15,Ordinary Bill,Passed,NA,NA,NA
44,1958,"The Employees' Provident Funds (Amendment) Bill, 1958.",LABOUR AND EMPLOYMENT,14/04/1958,05/05/1958,08/05/1958,18/05/1958,22,Financial Bill,Passed,NA,NA,NA
48,1958,"The Appropriation (No. 2) Bill, 1958.",FINANCE,18/04/1958,22/04/1958,30/04/1958,30/04/1958,12,Money Bill,Passed,NA,NA,NA
49,1958,"The Bombay, Calcutta and Madras Port Trusts (Amendment) Bill, 1958.","SHIPPING, ROAD TRANSPORT AND HIGHWAYS",25/04/1958,29/04/1958,05/05/1958,08/05/1958,13,Ordinary Bill,Passed,NA,NA,NA
55,1958,"The Central Sales Tax (Second Amendment) Bill, 1958.",FINANCE,26/04/1958,11/08/1958,09/09/1958,16/09/1958,31,Money Bill,Passed,NA,NA,NA
56,1958,"The Indian Stamp (Amendment) Bill, 1958.",FINANCE,26/04/1958,07/05/1958,10/05/1958,15/05/1958,19,Money Bill,Passed,NA,NA,NA
57,1958,"The Hyderabad Securities Contracts Regulation (Repeal) Bill, 1958.",FINANCE,25/04/1958,29/04/1958,06/05/1958,15/05/1958,17,Ordinary Bill,Passed,NA,NA,NA
59,1958,"The Appropriation (No. 3) Bill, 1958.",FINANCE,01/05/1958,02/05/1958,06/05/1958,12/05/1958,14,Money Bill,Passed,NA,NA,NA
60,1958,"The All India Services (Amendment) Bill, 1958.",HOME AFFAIRS,09/05/1958,12/08/1958,25/08/1958,03/09/1958,25,Ordinary Bill,Passed,NA,NA,NA
74,1958,"The Armed Forces (Assam and Manipur) Special Powers Bill, 1958.",HOME AFFAIRS,11/08/1958,18/08/1958,01/09/1958,11/09/1958,28,Ordinary Bill,Passed,NA,NA,NA
75,1958,"The Rajghat Samadhi (Amendment) Bill, 1958.",URBAN DEVELOPMENT,11/08/1958,04/09/1958,19/09/1958,06/10/1958,37,Ordinary Bill,Passed,NA,NA,NA
78,1958,"The Working Journalists (Fixation o f Rates of Wages) Bill, 1958.",LABOUR AND EMPLOYMENT,11/08/1958,25/08/1958,04/09/1958,16/09/1958,29,Financial Bill,Passed,NA,NA,NA
79,1958,"The Industrial Disputes (Banking Companies) Decision Amendment Bill, 1958.",LABOUR AND EMPLOYMENT,11/08/1958,28/08/1958,18/09/1958,06/10/1958,38,Ordinary Bill,Passed,NA,NA,NA
81,1958,"The Mineral Oils (Additional Duties of Excise and Customs) Bill, 1958.",FINANCE,11/08/1958,13/08/1958,21/08/1958,04/09/1958,27,Financial Bill,Passed,NA,NA,NA
